abbr,pts,opp_pts,wins,losses
IND,87,108,3,7
IND,99,90,4,7
IND,88,86,5,7
IND,83,106,5,8
IND,111,100,6,8
IND,100,106,6,9
IND,98,83,7,9
IND,97,109,7,10
IND,99,116,7,11
IND,82,88,7,12
IND,101,102,7,13
IND,92,108,7,14
IND,96,103,7,15
IND,94,106,7,16
IND,85,95,7,17
IND,110,91,8,17
IND,100,102,8,18
IND,73,76,8,19
IND,100,96,9,19
IND,96,84,10,19
IND,109,119,10,20
IND,110,85,11,20
IND,90,92,11,21
IND,106,95,12,21
IND,94,91,13,21
IND,87,88,13,22
IND,105,101,14,22
IND,102,117,14,23
IND,107,103,15,23
IND,92,93,15,24
IND,101,110,15,25
IND,96,98,15,26
IND,71,80,15,27
IND,98,110,15,28
IND,91,110,15,29
IND,87,89,15,30
IND,106,99,16,30
IND,91,104,16,31
IND,103,82,17,31
IND,94,99,17,32
IND,114,109,18,32
IND,103,99,19,32
IND,103,102,20,32
IND,93,95,20,33
IND,106,93,21,33
IND,106,95,22,33
IND,104,98,23,33
IND,92,105,23,34
IND,93,86,24,34
IND,94,74,25,34
IND,105,82,26,34
IND,98,84,27,34
IND,92,86,28,34
IND,118,86,29,34
IND,109,103,30,34
IND,89,93,30,35
IND,98,117,30,36
IND,86,103,30,37
IND,92,95,30,38
IND,111,123,30,39
IND,100,110,30,40
IND,103,101,31,40
IND,107,111,31,41
IND,104,99,32,41
IND,106,111,32,42
IND,87,100,32,43
IND,93,74,33,43
IND,112,89,34,43
IND,102,86,35,43
IND,107,103,36,43
IND,116,104,37,43
IND,99,95,38,43
IND,83,95,38,44
LAC,93,90,1,0
LAC,118,111,2,0
LAC,92,98,2,1
LAC,107,101,3,1
LAC,104,121,3,2
LAC,106,102,4,2
LAC,85,89,4,3
LAC,120,107,5,3
LAC,89,105,5,4
LAC,114,90,6,4
LAC,110,93,7,4
LAC,91,107,7,5
LAC,113,92,8,5
LAC,104,98,9,5
LAC,102,85,10,5
LAC,112,96,11,5
LAC,127,101,12,5
LAC,114,86,13,5
LAC,120,100,14,5
LAC,121,120,15,5
LAC,103,96,16,5
LAC,96,104,16,6
LAC,106,111,16,7
LAC,113,91,17,7
LAC,102,100,18,7
LAC,106,109,18,8
LAC,106,102,19,8
LAC,118,125,19,9
LAC,104,107,19,10
LAC,100,86,20,10
LAC,98,110,20,11
LAC,101,97,21,11
LAC,99,78,22,11
LAC,127,91,23,11
LAC,98,107,23,12
LAC,114,89,24,12
LAC,120,100,25,12
LAC,90,104,25,13
LAC,100,94,26,13
LAC,121,126,26,14
LAC,117,108,27,14
LAC,102,93,28,14
LAC,123,84,29,14
LAC,120,100,30,14
LAC,102,98,31,14
LAC,94,89,32,14
LAC,103,108,32,15
LAC,105,85,33,15
LAC,100,102,33,16
LAC,94,105,33,17
LAC,107,123,33,18
LAC,108,131,33,19
LAC,115,98,34,19
LAC,110,95,35,19
LAC,119,115,36,19
LAC,126,99,37,19
LAC,87,90,37,20
LAC,105,110,37,21
LAC,97,79,38,21
LAC,96,86,39,21
LAC,110,105,40,21
LAC,93,98,40,22
LAC,98,106,40,23
LAC,89,76,41,23
LAC,120,108,42,23
LAC,99,129,42,24
LAC,98,100,42,25
LAC,99,92,43,25
LAC,116,105,44,25
LAC,113,99,45,25
LAC,107,100,46,25
LAC,111,80,47,25
LAC,119,98,48,25
LAC,119,106,49,25
LAC,106,110,49,26
LAC,126,122,50,26
LAC,107,92,51,26
LAC,106,78,52,26
LAC,105,100,53,26
LAC,94,86,54,26
LAC,110,103,55,26
LAC,112,101,56,26
